id,count,site,locality,date,vaccine_type,posted,website
1381159079998070785,,Cvs - Harwichport,Harwichport,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Haverhill,Haverhill,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Holbrook,Holbrook,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Holyoke,Holyoke,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Hopkinton,Hopkinton,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Hyannis,Hyannis,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Hyde Park,Hyde Park,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Ipswich,Ipswich,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Lowell,Lowell,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Lynn,Lynn,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Agawam,Agawam,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Brockton,Brockton,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Chelsea,Chelsea,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - East Boston,East Boston,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Fall River,Fall River,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Haverhill,Haverhill,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Holbrook,Holbrook,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Holyoke,Holyoke,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
